1776505047.410239 server started (1757): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1776505047.410269 on Linux 6.8.0-110-generic #110-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 19 15:09:20 UTC 2026
1776505047.410275 using libevent 2.1.12-stable poll
1776505047.410277 using ncurses 6.4 20240113
1776505047.410333 input_key_build: 0x10e003 (PasteStart) is \033[200~
1776505047.410336 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1776505047.410339 input_key_build: 0x10e195 (F1) is \033OP
1776505047.410342 input_key_build: 0x10e196 (F2) is \033OQ
1776505047.410343 input_key_build: 0x10e197 (F3) is \033OR
1776505047.410345 input_key_build: 0x10e198 (F4) is \033OS
1776505047.410347 input_key_build: 0x10e199 (F5) is \033[15~
1776505047.410348 input_key_build: 0x10e19a (F6) is \033[17~
1776505047.410350 input_key_build: 0x10e19b (F7) is \033[18~
1776505047.410351 input_key_build: 0x10e19c (F8) is \033[19~
1776505047.410353 input_key_build: 0x10e19d (F9) is \033[20~
1776505047.410354 input_key_build: 0x10e19e (F10) is \033[21~
1776505047.410356 input_key_build: 0x10e19f (F11) is \033[23~
1776505047.410357 input_key_build: 0x10e1a0 (F12) is \033[24~
1776505047.410359 input_key_build: 0x10e1a1 (IC) is \033[2~
1776505047.410361 input_key_build: 0x10e1a2 (DC) is \033[3~
1776505047.410362 input_key_build: 0x10e1a3 (Home) is \033[1~
1776505047.410364 input_key_build: 0x10e1a4 (End) is \033[4~
1776505047.410366 input_key_build: 0x10e1a5 (NPage) is \033[6~
1776505047.410367 input_key_build: 0x10e1a6 (PPage) is \033[5~
1776505047.410369 input_key_build: 0x10e1a7 (BTab) is \033[Z
1776505047.410371 input_key_build: 0x10e1a8 (Up) is \033[A
1776505047.410372 input_key_build: 0x10e1a9 (Down) is \033[B
1776505047.410374 input_key_build: 0x10e1aa (Left) is \033[D
1776505047.410375 input_key_build: 0x10e1ab (Right) is \033[C
1776505047.410377 input_key_build: 0x10e1ac (KP/) is /
1776505047.410379 input_key_build: 0x10e1ad (KP*) is *
1776505047.410382 input_key_build: 0x10e1ae (KP-) is -
1776505047.410383 input_key_build: 0x10e1af (KP7) is 7
1776505047.410385 input_key_build: 0x10e1b0 (KP8) is 8
1776505047.410386 input_key_build: 0x10e1b1 (KP9) is 9
1776505047.410388 input_key_build: 0x10e1b2 (KP+) is +
1776505047.410389 input_key_build: 0x10e1b3 (KP4) is 4
1776505047.410391 input_key_build: 0x10e1b4 (KP5) is 5
1776505047.410392 input_key_build: 0x10e1b5 (KP6) is 6
1776505047.410394 input_key_build: 0x10e1b6 (KP1) is 1
1776505047.410395 input_key_build: 0x10e1b7 (KP2) is 2
1776505047.410397 input_key_build: 0x10e1b8 (KP3) is 3
1776505047.410399 input_key_build: 0x10e1b9 (KPEnter) is \n
1776505047.410400 input_key_build: 0x10e1ba (KP0) is 0
1776505047.410402 input_key_build: 0x10e1bb (KP.) is .
1776505047.410404 input_key_build: 0x200000000009 (C-Tab) is \t
1776505047.410406 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1776505047.410408 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1776505047.410409 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1776505047.410411 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1776505047.410413 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1776505047.410415 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1776505047.410417 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1776505047.410418 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1776505047.410420 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1776505047.410422 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1776505047.410423 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1776505047.410427 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1776505047.410428 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1776505047.410430 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1776505047.410432 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1776505047.410434 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
